,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3,688023,N安恒,软件服务,浙江,0.0,0.15,0.74,8.88,5.7,2.68,3.09,4.17,-0.56,19.13,4.13,20191105,0.86,1.16,0.0,0.0,68.31,-8.81,16241.0
8,913,钱江摩托,摩托车,浙江,13.09,4.54,4.54,47.27,31.92,7.91,13.71,3.02,0.66,6.16,1.87,19990514,7.36,1.62,11.14,307.16,23.51,10.28,15332.0
23,300566,激智科技,元器件,浙江,68.05,0.95,1.55,19.68,11.62,4.32,2.15,1.39,0.317,4.27,6.74,20161115,2.7,1.74,15.61,6.03,26.68,6.62,8915.0
28,600126,杭钢股份,普钢,浙江,14.31,33.77,33.77,273.92,127.27,92.64,102.68,3.04,0.243,5.74,0.81,19980311,52.17,1.54,-1.26,-48.83,7.41,4.21,38247.0
41,600797,浙大网新,软件服务,浙江,65.2,10.24,10.47,65.7,29.6,7.24,20.28,1.94,0.141,4.29,2.86,19970418,12.92,1.23,0.98,-6.83,29.79,6.13,120977.0
50,603129,春风动力,摩托车,浙江,24.76,0.66,1.34,23.59,17.56,2.44,6.06,4.51,1.051,7.38,4.7,20170818,3.45,2.57,28.29,45.33,30.95,5.9,9641.0
51,603538,美诺华,化学制药,浙江,21.3,0.91,1.5,25.21,12.1,4.41,5.27,3.52,0.89,8.68,2.8,20170407,6.51,4.35,52.43,98.71,37.39,15.03,11658.0
59,2012,凯恩股份,造纸,浙江,51.92,4.66,4.68,18.58,11.64,4.48,2.73,0.58,0.0819999999999999,2.72,2.09,20040705,4.58,0.98,2.18,107.56,23.66,4.53,47460.0
72,603816,顾家家居,家居用品,浙江,18.92,5.84,6.02,111.99,55.97,14.63,21.9,3.64,1.56,8.48,4.54,20161014,23.13,3.84,21.61,16.75,35.08,11.8,15854.0
74,603799,华友钴业,小金属,浙江,229.72,10.66,10.79,223.55,97.98,51.47,26.07,2.42,0.086,7.18,3.67,20150129,36.55,3.39,39.2,-95.15,10.98,0.66,143761.0
75,300703,创源文化,文教休闲,浙江,17.2,0.99,1.83,10.82,7.23,2.8,2.87,1.57,0.53,3.84,3.13,20170919,2.08,1.14,17.82,48.31,35.24,13.28,13674.0
84,603040,新坐标,机械基件,浙江,22.13,0.32,0.79,8.34,5.03,1.56,2.65,3.33,1.11,9.41,3.43,20170209,3.66,4.61,8.15,10.29,62.49,36.7,6453.0
88,2637,赞宇科技,日用化工,浙江,11.17,3.72,4.23,57.1,20.59,13.22,12.43,2.94,0.557,6.07,1.37,20111125,8.39,1.98,-6.47,56.28,14.52,5.13,17487.0
90,300360,炬华科技,电器仪表,浙江,21.68,3.32,4.1,25.15,21.68,0.66,6.39,1.56,0.368,5.24,2.03,20140121,10.82,2.64,-9.31,17.53,38.71,26.07,14440.0
100,300033,同花顺,软件服务,浙江,91.25,2.64,5.38,46.86,40.7,4.3,3.57,0.66,0.853,6.61,15.69,20091225,22.78,4.24,27.07,43.89,87.89,39.65,52986.0
110,2641,永高股份,塑料,浙江,12.71,9.1,11.23,56.46,33.55,17.26,6.38,0.57,0.292,2.85,1.73,20111208,11.98,1.07,18.49,101.74,25.07,7.44,27522.0
136,300727,润禾材料,化工原料,浙江,31.78,0.39,1.27,6.81,3.94,1.4,2.21,1.74,0.356,4.38,3.45,20171127,1.74,1.37,-5.55,-18.33,28.41,9.85,9959.0
141,2534,杭锅股份,专用机械,浙江,15.95,7.3,7.39,88.88,65.79,10.02,8.25,1.12,0.371,4.38,1.8,20110110,14.21,1.92,6.27,42.96,21.18,10.28,17427.0
144,600677,航天通信,通信设备,浙江,0.0,4.54,5.22,137.6,100.36,16.36,21.24,4.07,-0.484,5.99,1.19,19930928,4.56,0.87,-63.88,-303.55,15.37,-7.8,95890.0
146,603661,恒林股份,家居用品,浙江,14.44,0.29,1.0,35.37,20.14,7.25,13.54,13.54,2.2,24.53,1.71,20171121,9.47,9.47,16.05,70.31,25.77,11.17,14530.0
154,300250,初灵信息,软件服务,浙江,54.2,1.51,2.2,11.46,5.72,0.13,8.12,3.69,0.19,4.65,3.04,20110803,-0.05,-0.02,16.2,-27.17,51.7,13.35,22000.0
156,2479,富春环保,火力发电,浙江,25.8,8.87,8.94,75.63,25.14,28.95,16.98,1.9,0.258,4.32,2.05,20100921,11.49,1.29,20.09,31.43,19.43,9.1,46281.0
162,603103,横店影视,影视音像,浙江,26.54,0.74,6.34,34.01,16.17,8.89,5.74,0.9,0.411,3.69,3.94,20171012,10.11,1.59,-3.43,-19.4,21.41,12.22,25026.0
171,2131,利欧股份,互联网,浙江,33.77,53.77,66.51,141.25,87.13,10.41,12.52,0.19,0.046,1.22,1.72,20070427,0.54,0.01,8.55,23.05,10.09,2.88,225596.0
180,603303,得邦照明,家用电器,浙江,14.47,1.21,4.88,39.75,31.36,2.98,8.42,1.73,0.5,5.3,1.79,20170330,12.66,2.6,8.64,14.57,17.79,7.7,18475.0
194,603823,百合花,染料涂料,浙江,22.99,0.7,2.25,24.4,14.23,6.94,4.32,1.92,0.777,6.82,3.49,20161220,7.94,3.53,9.62,15.66,25.71,11.75,20022.0
196,600933,爱柯迪,汽车配件,浙江,25.29,2.67,8.58,52.07,31.45,13.93,18.26,2.13,0.35,4.59,2.52,20171117,11.22,1.31,2.88,-19.81,33.8,15.25,30804.0
197,600572,康恩贝,中成药,浙江,30.61,26.61,26.67,107.75,49.82,24.56,7.12,0.27,0.18,2.04,3.57,20040412,22.07,0.83,-2.94,-38.77,76.07,8.8,113521.0
204,300314,戴维医疗,医疗保健,浙江,50.76,1.89,2.88,9.01,6.16,2.15,1.76,0.61,0.14,2.8,3.38,20120508,2.92,1.01,20.99,7.57,51.4,17.05,20100.0
205,300316,晶盛机电,专用机械,浙江,31.18,12.04,12.84,71.88,50.82,9.19,12.35,0.96,0.367,3.41,4.48,20120511,17.01,1.32,6.23,5.85,38.23,23.51,40146.0
209,2019,亿帆医药,化学制药,浙江,17.08,8.08,12.31,103.56,36.3,8.33,28.54,2.32,0.61,5.92,2.32,20040713,33.63,2.73,10.56,4.37,44.4,19.55,54306.0
211,2273,水晶光电,元器件,浙江,37.33,10.83,11.26,61.32,26.7,18.32,10.68,0.95,0.319,3.55,4.48,20080919,16.72,1.49,26.43,-11.18,26.47,17.41,58214.0
212,2280,联络互动,软件服务,浙江,321.03,17.63,21.77,123.26,64.29,8.26,30.13,1.38,0.01,2.43,1.71,20090821,-0.17,-0.01,-2.46,-85.06,14.54,0.19,128068.0
218,603208,江山欧派,家居用品,浙江,17.87,0.31,0.81,25.49,16.07,5.5,5.18,6.4,2.224,15.23,3.48,20170210,5.65,7.0,55.06,66.62,33.0,13.46,5501.0
248,300113,顺网科技,互联网,浙江,29.56,4.78,6.94,35.02,17.56,0.63,2.83,0.41,0.51,3.96,5.0,20100827,18.79,2.71,-20.54,-20.43,68.63,28.62,36585.0
251,603181,皇马科技,化工原料,浙江,19.77,1.39,2.8,20.2,9.41,8.02,5.3,1.89,0.6559999999999999,5.44,3.18,20170824,7.06,2.52,10.08,35.22,21.89,13.29,16424.0
263,2048,宁波华翔,汽车配件,浙江,10.21,5.45,6.26,166.23,86.03,33.33,26.43,4.22,1.069,14.16,1.03,20050603,46.61,7.44,9.33,32.89,19.94,5.72,39250.0
296,600387,海越能源,石油贸易,浙江,6.42,3.88,4.72,45.0,28.36,5.71,11.42,2.42,0.981,6.43,1.31,20040218,11.32,2.4,-46.94,50.05,4.46,5.25,26112.0
305,300792,壹网壹创,互联网,浙江,121.11,0.2,0.8,12.5,10.93,1.09,7.14,8.92,1.6,14.44,13.44,20190927,3.43,4.29,0.0,0.0,39.95,12.18,39762.0
310,300548,博创科技,元器件,浙江,440.24,0.83,0.83,7.36,4.8,1.3,2.47,2.96,0.09,7.39,7.17,20161012,2.54,3.05,33.44,-83.21,22.12,2.9,8334.0
316,600460,士兰微,半导体,浙江,298.61,13.12,13.12,85.56,36.08,27.22,7.98,0.61,0.038,2.61,5.87,20030311,11.37,0.87,0.52,-66.65,19.09,2.27,150765.0
323,600261,阳光照明,家用电器,浙江,9.16,14.52,14.52,63.65,40.53,11.85,2.86,0.2,0.359,2.63,1.67,20000720,18.11,1.25,-3.84,80.98,31.37,12.93,52391.0
328,2515,金字火腿,食品,浙江,91.6,8.49,9.78,14.33,10.25,2.71,1.76,0.18,0.049,1.36,4.37,20101203,3.06,0.31,-48.41,316.38,44.25,28.25,47182.0
329,300643,万通智控,汽车配件,浙江,67.85,0.84,2.0,7.28,2.74,0.94,1.33,0.66,0.098,2.15,4.14,20170505,0.83,0.42,7.1,-31.06,29.97,8.27,14113.0
332,601877,正泰电器,电气设备,浙江,13.49,17.77,21.51,538.74,271.31,186.29,110.61,5.14,1.331,10.84,2.21,20100121,91.29,4.24,17.62,2.65,29.41,12.74,30299.0
341,603997,继峰股份,汽车配件,浙江,20.28,6.32,6.39,24.83,17.07,5.02,2.69,0.42,0.298,2.95,2.73,20150302,8.54,1.34,-1.58,-18.12,34.07,12.37,18469.0
347,300604,长川科技,专用机械,浙江,3994.78,1.27,3.14,13.39,8.46,1.42,5.8,1.85,0.004,3.07,7.29,20170417,1.07,0.34,17.93,-95.9,50.72,0.65,15129.0
350,2001,新和成,化学制药,浙江,20.05,21.21,21.49,271.59,119.54,51.61,45.28,2.11,0.794,7.63,2.78,20040625,88.23,4.11,-14.2,-32.77,46.83,29.59,57500.0
355,600226,瀚叶股份,互联网,浙江,39.44,19.93,31.39,50.68,15.62,5.17,3.24,0.1,0.069,1.41,2.58,19991116,8.16,0.26,-6.85,1.99,40.39,32.8,68937.0
357,2570,贝因美,乳制品,浙江,0.0,10.22,10.23,42.57,22.06,11.77,12.24,1.2,-0.11,1.65,3.79,20110412,-6.92,-0.68,11.46,-478.85,51.97,-5.25,54804.0
367,300257,开山股份,机械基件,浙江,74.87,8.18,8.58,78.8,28.8,9.62,14.89,1.74,0.107,4.14,2.57,20110819,8.98,1.05,-3.6,1.3,26.05,4.91,10659.0
370,600865,百大集团,百货,浙江,14.44,3.76,3.76,21.11,8.25,0.94,2.33,0.62,0.3339999999999999,4.84,1.33,19940809,10.16,2.7,10.33,26.44,26.84,21.71,24855.0
