,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,603719,良品铺子,--,--,--,6832.1154,--,--
1,603739,蔚蓝生物,--,--,--,4074.2633,--,--
2,603786,科博达,--,--,--,-49071.7374,--,--
3,300765,新诺威,--,--,--,-3018.4251,--,--
4,300769,德方纳米,--,--,--,401.114,--,--
5,300773,拉卡拉,--,--,--,800.0757,--,--
6,300778,新城市,--,--,--,-5475.3677,--,--
7,300782,卓胜微,--,--,--,-1111.5437,--,--
8,300787,海能实业,--,--,--,-1958.0205,--,--
9,300791,仙乐健康,--,--,--,2411.6134,--,--
10,300796,贝斯美,--,--,--,-1640.0762,--,--
11,300800,力合科技,--,--,--,-26677.512,--,--
12,603109,神驰机电,--,--,--,-1575.6675,--,--
13,300805,电声股份,--,--,--,31554.1541,--,--
14,603115,海星股份,--,--,--,-995.9333,--,--
15,300809,华辰装备,--,--,--,-5660.2509,--,--
16,603121,华培动力,--,--,--,-2087.3478,--,--
17,300815,玉禾田,--,--,--,745.6434,--,--
18,300870,欧陆通,--,--,--,--,--,--
19,603915,国茂股份,--,--,--,-6744.9904,--,--
20,600968,海油发展,--,--,--,652.8983,--,--
21,603949,雪龙集团,--,--,--,1984.0405,--,--
22,603967,中创物流,--,--,--,-8113.7296,--,--
23,603995,甬金股份,--,--,--,761.4137,--,--
24,688005,容百科技,--,--,--,1180.4932,--,--
25,688009,中国通号,--,--,--,-5855.6703,--,--
26,688015,交控科技,--,--,--,485.4031,--,--
27,688020,方邦股份,--,--,--,-8284.2117,--,--
28,688025,杰普特,--,--,--,-727.2291,--,--
29,688029,南微医学,--,--,--,-2893.9187,--,--
30,688037,芯源微,--,--,--,--,--,--
31,603332,苏州龙杰,--,--,--,30645.7782,--,--
32,688058,宝兰德,--,--,--,-6856.6175,--,--
33,688069,德林海,--,--,--,--,--,--
34,688081,兴图新科,--,--,--,-2929.7819,--,--
35,688089,嘉必优,--,--,--,--,--,--
36,688098,申联生物,--,--,--,-17314.3072,--,--
37,603379,三美股份,--,--,--,-4441.8733,--,--
38,688118,普元信息,--,--,--,633.4833,--,--
39,688138,清溢光电,--,--,--,-3662.4584,--,--
40,688159,有方科技,--,--,--,579.7554,--,--
41,688177,百奥泰,--,--,--,--,--,--
42,688181,八亿时空,--,--,--,--,--,--
43,688196,卓越新能,--,--,--,-5085.2499,--,--
44,688202,美迪西,--,--,--,-960.8643,--,--
45,688228,开普云,--,--,--,--,--,--
46,601512,中新集团,--,--,--,5647.5897,--,--
47,688268,华特气体,--,--,--,--,--,--
48,688299,长阳科技,--,--,--,565.5134,--,--
49,603530,神马电力,--,--,--,21535.6986,--,--
50,688321,微芯生物,--,--,--,-479.5896,--,--
51,688358,祥生医疗,--,--,--,-1071.985,--,--
52,688366,昊海生科,--,--,--,-767.3493,--,--
53,688399,硕世生物,--,--,--,-5868.1684,--,--
54,688568,中科星图,--,--,--,--,--,--
55,601698,中国卫通,--,--,--,-508.5683,--,--
56,688586,江航装备,--,--,--,--,--,--
57,002955,鸿合科技,--,--,--,-1082.0174,--,--
58,002959,小熊电器,--,--,--,4951.601,--,--
59,002963,豪尔赛,--,--,--,31167.7188,--,--
60,688300,联瑞新材,--,--,--,3212.9433,--,--
61,688333,铂力特,--,--,--,345.466,--,--
62,603551,奥普家居,--,--,--,-3115.793,--,--
63,688360,德马科技,--,--,--,--,--,--
64,688368,晶丰明源,--,--,--,-1225.2445,--,--
65,688389,普门科技,--,--,--,-10897.8613,--,--
66,688466,金科环境,--,--,--,--,--,--
67,688569,铁科轨道,--,--,--,--,--,--
68,002951,金时科技,--,--,--,46385.2162,--,--
69,002956,西麦食品,--,--,--,-12608.6361,--,--
70,002960,青鸟消防,--,--,--,7547.9569,--,--
71,002965,祥鑫科技,--,--,--,-5143.3349,--,--
72,002969,嘉美包装,--,--,--,--,--,--
73,002975,博杰股份,--,--,--,-1957.3753,--,--
74,603755,日辰股份,--,--,--,-12049.2829,--,--
75,300766,每日互动,--,--,--,-5973.2464,--,--
76,300770,新媒股份,--,--,--,-4967.7366,--,--
77,300775,三角防务,--,--,--,-5901.6517,--,--
78,603815,交建股份,--,--,--,914.2699,--,--
79,300779,惠城环保,--,--,--,1035.1098,--,--
80,300783,三只松鼠,--,--,--,-8413.6745,--,--
81,300788,中信出版,--,--,--,-6505.6119,--,--
82,603093,南华期货,--,--,--,--,--,--
83,300792,壹网壹创,--,--,--,-8081.4441,--,--
84,300797,钢研纳克,--,--,--,-42197.882,--,--
85,300801,泰和科技,--,--,--,-5526.6521,--,--
86,603867,新化股份,--,--,--,1138.4916,--,--
87,300806,斯迪克,--,--,--,204.3355,--,--
88,300810,中科海讯,--,--,--,-11137.7038,--,--
89,300816,艾可蓝,--,--,--,1330.2955,--,--
90,603982,泉峰汽车,--,--,--,419.5044,--,--
91,688001,华兴源创,--,--,--,-3390.3326,--,--
92,688006,杭可科技,--,--,--,-2295.0992,--,--
93,688010,福光股份,--,--,--,-1231.5057,--,--
94,688016,心脉医疗,--,--,--,-129416.1409,--,--
95,688021,奥福环保,--,--,--,850.9088,--,--
96,688026,洁特生物,--,--,--,--,--,--
97,688030,山石网科,--,--,--,-12060.3916,--,--
98,688039,当虹科技,--,--,--,-165.8512,--,--
99,688060,云涌科技,--,--,--,--,--,--
100,688077,大地熊,--,--,--,--,--,--
101,300564,筑博设计,--,--,--,3950.8459,--,--
102,688085,三友医疗,--,--,--,--,--,--
103,688090,瑞松科技,--,--,--,--,--,--
104,688099,晶晨股份,--,--,--,3634.3983,--,--
105,688108,赛诺医疗,--,--,--,-4372.108,--,--
106,688159,有方科技,--,--,--,579.7554,--,--
107,688177,百奥泰,--,--,--,--,--,--
108,688181,八亿时空,--,--,--,--,--,--
109,688196,卓越新能,--,--,--,-5085.2499,--,--
110,688202,美迪西,--,--,--,-960.8643,--,--
111,688228,开普云,--,--,--,--,--,--
112,601512,中新集团,--,--,--,5647.5897,--,--
113,688268,华特气体,--,--,--,--,--,--
114,688299,长阳科技,--,--,--,565.5134,--,--
115,603530,神马电力,--,--,--,21535.6986,--,--
116,688321,微芯生物,--,--,--,-479.5896,--,--
117,688358,祥生医疗,--,--,--,-1071.985,--,--
118,688366,昊海生科,--,--,--,-767.3493,--,--
119,688399,硕世生物,--,--,--,-5868.1684,--,--
120,688566,吉贝尔,--,--,--,--,--,--
121,601696,中银证券,--,--,--,--,--,--
122,688585,上纬新材,--,--,--,--,--,--
123,688600,皖仪科技,--,--,--,--,--,--
124,603610,麒盛科技,--,--,--,-557.3494,--,--
125,002945,华林证券,--,--,--,--,--,--
126,002949,华阳国际,--,--,--,-42972.7553,--,--
127,002953,日丰股份,--,--,--,667.7913,--,--
128,002962,五方光电,--,--,--,-6233.7,--,--
129,300755,华致酒行,--,--,--,3358.6742,--,--
130,300763,锦浪科技,--,--,--,-1222.6619,--,--
131,300768,迪普科技,--,--,--,-554.0363,--,--
132,300772,运达股份,--,--,--,-176.6219,--,--
133,603068,博通集成,--,--,--,-530.723,--,--
134,300777,中简科技,--,--,--,10217.2539,--,--
135,300781,因赛集团,--,--,--,-7158.3539,--,--
136,300790,宇瞳光学,--,--,--,592.9883,--,--
137,300795,米奥会展,--,--,--,-1777.5347,--,--
138,300799,左江科技,--,--,--,1801.6577,--,--
139,603863,松炀资源,--,--,--,1419.3348,--,--
140,300803,指南针,--,--,--,62268.3459,--,--
141,300808,久量股份,--,--,--,3734.4762,--,--
142,300813,泰林生物,--,--,--,-8085.6593,--,--
143,300819,聚杰微纤,--,--,--,-4703.9409,--,--
144,300845,捷安高科,--,--,--,--,--,--
145,603893,瑞芯微,--,--,--,-404.29,--,--
146,603217,元利科技,--,--,--,-6457.3309,--,--
147,603236,移远通信,--,--,--,-2123.652,--,--
148,603267,鸿远电子,--,--,--,3089.9234,--,--
149,688003,天准科技,--,--,--,-2354.9938,--,--
150,688008,澜起科技,--,--,--,-1765.8525,--,--
151,688012,中微公司,--,--,--,428.3729,--,--
152,688019,安集科技,--,--,--,-263.0233,--,--
153,603317,天味食品,--,--,--,-16988.6748,--,--
154,688023,安恒信息,--,--,--,6933.532,--,--
155,688028,沃尔德,--,--,--,-15457.4019,--,--
156,603327,福蓉科技,--,--,--,845.5206,--,--
157,688036,传音控股,--,--,--,528.946,--,--
158,688068,热景生物,--,--,--,-8490.7821,--,--
159,688080,映翰通,--,--,--,--,--,--
